speed,reward
99.75438,-0.2
80.41094,-1
35.595467,1.4
93.58268,-1
12.47865,1.4
80.18841,0.6
-11.380302,1.4
21.889015,1.4
132.2239,1.4
52.943985,1.4
70.45533,-0.8
91.531685,1.4
41.230465,-0.2
11.090003,1.4
103.53727,0
16.525558,1.4
90.22872,1.4
148.52551,1.4
109.56045,-1
85.75223,1.4
99.92276,1.4
-9.373912,1.4
44.150772,0.6
84.910934,1.4
124.06939,1.4
109.09315,1.4
59.598953,1.4
128.35818,1.4
36.812534,1.4
66.351,-0.2
11.135074,1.4
75.88483,1.4
83.14356,1.4
71.790665,1.4
66.48246,0.6
96.036194,1.4
7.3516135,0.6
134.45218,1.4
26.61885,-0.2
101.62052,0.6
68.751816,1.4
123.00672,1.4
36.428886,0.6
74.539505,0.6
29.108852,1.4
41.844612,0.6
25.05492,1.4
43.499447,1.4
-4.4192095,0.6
121.94635,1.4
-1.793227,-0.2
57.09962,1.4
89.327225,1.4
98.65057,1.4
18.206781,0
12.363906,1.4
0.60904217,0.6
71.47068,1.4
23.867872,1.4
139.74197,1.4
70.69172,0.6
139.1777,0.6
119.32343,1.4
64.62958,1.4
105.70797,0
15.088643,0
24.438978,0.6
53.273815,1.4
133.87094,1.4
12.614054,1.4
72.627754,0
127.92717,0.6
105.26885,0.6
11.425768,1.4
65.17957,1.4
27.62169,0.6
134.16788,1.4
52.26752,1.4
126.13787,0
75.47399,1.4
15.837235,-2.4
86.53444,0
94.72434,1.4
79.57467,-0.2
13.18744,1.4
32.514736,1.4
140.25739,0.6
74.63613,1.4
87.21709,-0.8
89.96848,0.6
67.774666,0.6
108.94528,1.4
93.6225,1.4
-3.0350459,1.4
69.88666,1.4
122.76187,1.4
70.32917,1.4
-1.6684308,-0.2
119.787994,0.6
136.46198,0.6
130.56364,1.4
44.832233,1.4
79.09333,0.6
57.82096,1.4
67.90619,1.4
79.6095,0.6
25.232101,1.4
93.96852,1.4
119.17825,1.4
21.232656,1.4
44.734528,1.4
126.40423,1.4
16.78506,1.4
27.553213,1.4
68.487564,1.4
11.992197,1.4
64.897606,1.4
106.61967,0.6
2.8532908,0.6
41.353897,0.6
146.00757,1.4
105.56292,-0.8
71.69012,1.4
12.814418,-1
11.873749,0.6
70.6383,-0.2
119.36676,1.4
149.1566,1.4
107.496025,0.6
103.645424,1.4
45.25041,1.4
142.7619,1.4
121.821175,1.4
61.021774,1.4
103.050835,1.4
50.770855,1.4
-6.8737645,1.4
51.353157,0.6
102.78458,0.6
42.8152,0
23.76166,1.4
27.686897,1.4
-0.53361845,1.4
0.8176919,1.4
32.1042,-0.2
40.95888,1.4
72.16233,1.4
86.59049,0.6
44.79158,1.4
33.118813,0
54.398605,1.4
30.780497,0.6
50.889874,1.4
107.7283,1.4
104.49215,1.4
70.74303,0.6
117.094154,1.4
61.26099,1.4
-1.5953012,0.6
44.27494,0.6
123.11067,1.4
128.10782,0.6
59.11869,1.4
8.2192,0.6
4.8323345,1.4
106.53601,-0.2
97.19623,1.4
46.521076,0
7.4469347,0
23.279636,1.4
56.6002,1.4
68.56427,0.6
35.62659,1.4
117.16972,1.4
18.330973,1.4
51.245266,0.6
13.688449,1.4
95.95736,0.6
-0.76541954,1.4
100.5602,1.4
126.54047,1.4
7.7280746,1.4
126.35742,1.4
68.72047,1.4
133.2389,-0.2
105.115074,1.4
98.71235,1.4
79.325134,0.6
40.01714,0
95.38535,1.4
69.27899,1.4
66.81851,0.6
95.98261,1.4
72.703705,1.4
23.93839,0.6
24.717611,1.4
40.828827,1.4
110.44658,1.4
63.584435,0.6
73.214645,1.4
52.372086,1.4
45.51524,1.4
78.1599,1.4
59.34279,0.6
151.92459,0.6
82.12722,1.4
120.13023,-1.8
12.306736,1.4
24.847155,1.4
41.445457,0.6
3.4666831,1.4
75.64519,0.6
95.377396,1.4
52.500286,1.4
61.686237,1.4
-2.5049586,0.6
51.15476,1.4
43.87185,-1
58.724106,1.4
80.597435,0.6
57.888622,1.4
8.003619,-1
124.32365,1.4
67.92699,1.4
161.02641,1.4
86.81297,1.4
119.28585,-0.2
82.71862,1.4
123.94712,1.4
30.584785,0.6
74.29207,1.4
99.09922,0.6
45.971573,-0.2
70.1506,-1
1.7238683,0
38.861275,1.4
127.655304,1.4
136.0054,1.4
30.097067,1.4
45.895462,1.4
67.136856,1.4
97.01766,-0.2
54.856632,1.4
6.7926793,0
35.046284,0.6
148.87398,-0.2
134.02838,0.6
122.80159,1.4
110.55877,1.4
119.27278,0.6
10.366825,0
101.17758,1.4
98.32692,1.4
-0.47925574,1.4
93.87601,1.4
81.81609,1.4
98.69278,-1.8
10.961547,1.4
95.936844,1.4
151.44203,1.4
30.045366,1.4
63.079216,0.6
-1.3734035,1.4
109.554886,1.4
107.66727,1.4
128.67053,1.4
57.551414,1.4
95.815,1.4
10.11395,0.6
130.25423,1.4
128.20052,1.4
86.99995,1.4
134.11438,0.6
115.09248,1.4
12.532839,1.4
45.194756,1.4
-3.2884119,1.4
51.41383,1.4
32.902782,1.4
135.14044,0
0.51335317,1.4
97.13579,-0.2
75.86162,1.4
41.4374,0.6
30.579334,1.4
134.0211,1.4
92.31588,1.4
75.99591,1.4
1.3765378,-0.2
84.35101,0.6
8.560555,0.6
42.845875,1.4
140.65009,1.4
128.12318,0.6
137.75636,1.4
90.576355,1.4
9.134463,1.4
0.18045774,0.6
131.81898,1.4
103.97848,0.6
70.55446,1.4
28.802914,-1
24.376955,0.6
71.01932,1.4
-1.2308578,1.4
-4.977915,1.4
92.170746,0
108.88219,1.4
83.99599,-0.2
29.317255,1.4
50.64551,1.4
70.71717,1.4
157.40306,1.4
144.6223,0
130.23203,1.4
21.037294,0
24.54549,1.4
108.03251,1.4
18.262697,1.4
47.377537,1.4
61.93134,1.4
-4.39526,-0.2
34.868336,1.4
73.159035,1.4
37.699112,1.4
151.92506,0.6
-1.8132129,1.4
-8.3587055,-0.2
28.338867,1.4
114.56126,1.4
57.099865,1.4
27.939579,1.4
135.62553,0
123.32613,-0.2
147.56676,1.4
28.758018,1.4
65.945984,1.4
149.9872,-0.8
134.93391,1.4
86.18003,-1
13.092893,1.4
90.658104,1.4
81.4052,0.6
-3.4135342,1.4
46.89487,1.4
9.478482,1.4
28.288584,0.6
54.48102,1.4
40.363552,1.4
43.82487,0
110.81909,1.4
30.469471,1.4
98.81823,1.4
-7.798928,0.6
153.23888,-0.2
1.6968745,0.6
36.590942,-1
147.36176,1.4
19.629929,1.4
0.59054554,1.4
69.55391,-0.2
107.06768,1.4
51.891804,0.6
130.1881,1.4
21.28326,1.4
112.30338,-0.2
92.92756,-0.2
73.694496,0.6
62.18393,1.4
127.03492,1.4
112.27964,0
129.65173,1.4
143.16493,-0.2
70.26581,-0.2
117.93045,0.6
66.75208,0.6
42.037853,0.6
109.3916,1.4
78.35589,0.6
87.704605,-0.2
88.53932,1.4
8.508094,1.4
42.042896,1.4
109.20624,1.4
31.753428,1.4
14.816351,0.6
118.35368,0.6
115.97765,1.4
36.020317,1.4
100.18576,1.4
40.07381,1.4
22.064655,1.4
112.46832,1.4
94.75567,1.4
31.704386,0.6
57.479374,-0.2
92.08545,1.4
86.501495,1.4
79.648895,1.4
27.754704,1.4
129.03694,1.4
22.522936,1.4
19.771482,1.4
72.665886,1.4
